gamma_dLTI,h
1.2645393300393917,0.01
1.278904017426014,0.02
1.293090321309058,0.03
1.307096003185604,0.04
1.32091997636745,0.05
1.3345620798225395,0.060000000000000005
1.3480228884535133,0.06999999999999999
1.3613035605607084,0.08
1.3744057147384356,0.09
1.3873313303008334,0.09999999999999999
1.4000826664287074,0.11
1.4126621964624593,0.12
1.4250725542856482,0.13
1.4373164905294806,0.14
1.4493968380224485,0.15000000000000002
1.461316481452731,0.16
1.4730783331710933,0.17
1.4846853162418054,0.18000000000000002
1.4961403466652174,0.19
1.5074463175381139,0.2
1.5186061092031027,0.21000000000000002
1.5296225401265324,0.22
1.5404983969415749,0.23
1.5512364221488395,0.24000000000000002
1.561839306104966,0.25
1.5723096820287026,0.26
1.5826501186970148,0.27
1.5928631074771495,0.28
1.6029510680958126,0.29000000000000004
1.6129165940768357,0.3
1.6227617718647762,0.31
1.6324889900459598,0.32
1.642100531607275,0.33
1.651598344111678,0.34
1.660984825380206,0.35000000000000003
1.6702617849687487,0.36000000000000004
1.6794310980945215,0.37
1.6884954513348194,0.38
1.6974554274889353,0.39
1.706314228183179,0.4
1.7150731434399475,0.41000000000000003
1.7237328918389596,0.42000000000000004
1.732296659904954,0.43
1.7407663621122333,0.44
1.7491416738079009,0.45
1.7574241259281274,0.46
1.76561871491283,0.47000000000000003
1.7737247723897764,0.48000000000000004
1.7817422403289556,0.49
1.7896724957909913,0.5
1.7975180344047565,0.51
1.8052852747186467,0.52
1.812969117999622,0.53
1.820570822557954,0.54
1.8280916016977768,0.55
1.8355326266056684,0.56
1.8429006969707047,0.5700000000000001
1.8501970766059381,0.5800000000000001
1.8574169853349507,0.59
1.864561517187921,0.6
1.87163172972535,0.61
1.8786286463012891,0.62
1.885553258128826,0.63
1.8924104894619447,0.64
1.8992116120996103,0.65
1.9059432074399025,0.66
1.9126062272464457,0.67
1.9192015941078027,0.68
1.9257302031673595,0.6900000000000001
1.932192923714875,0.7000000000000001
1.9385906006537654,0.7100000000000001
1.944924055856394,0.72
1.9511940894182624,0.73
1.9574160002667103,0.74
1.9635913555166735,0.75
1.9697055631084839,0.76
1.9757594156905065,0.77
1.981753684786403,0.78
1.9876891219213066,0.79
1.993566459667774,0.8
1.9993864126183332,0.81
2.0051496782907847,0.8200000000000001
2.0108569379717363,0.8300000000000001
2.0165088575034265,0.8400000000000001
2.022106088018322,0.85
2.0276492666255708,0.86
2.0331390170530756,0.87
2.0386115908924958,0.88
2.044046614832063,0.89
2.0494299861457863,0.9
2.054762340883612,0.91
2.060044300925099,0.92
2.0652764746079777,0.93
2.070459457318005,0.9400000000000001
2.075593832042936,0.9500000000000001
2.080680169893036,0.9600000000000001
2.0857190305905933,0.97
2.090710962930431,0.98
2.095656505213523,0.99
2.1005561856554547,1.0
2.1054105227714643,1.01
2.1102200257395927,1.02
2.114985194743419,1.03
2.1197065212956794,1.04
2.1243844885440595,1.05
2.129019571560265,1.06
2.133612237613459,1.07
2.1381629464290723,1.08
2.1427139858190594,1.09
2.147269205275843,1.1
2.1517836748192742,1.11
2.1562578715043963,1.12
2.1606922636827353,1.1300000000000001
2.1650873112896227,1.1400000000000001
2.169443466117464,1.1500000000000001
2.173761172075753,1.1600000000000001
2.178040865438625,1.17
2.1822829750806463,1.18
2.186487922701511,1.19
2.1906561230402577,1.2
2.1947879840796345,1.21
2.198883907241107,1.22
2.202944287571078,1.23
2.2069695139187693,1.24
2.2109599691062485,1.25
